title,company,location,link,source,date_scraped
Data Analyst,The Walt Disney Studios,"Burbank, CA",https://www.linkedin.com/jobs/view/data-analyst-at-the-walt-disney-studios-4286906003,LinkedIn,2025-08-17
"data scientist, Staffing- Data & Analytics (Seattle)",Starbucks,"Seattle, WA",https://www.linkedin.com/jobs/view/data-scientist-staffing-data-analytics-seattle-at-starbucks-4286477852,LinkedIn,2025-08-17
Data Analyst (100% Remote),Lensa,United States,https://www.linkedin.com/jobs/view/data-analyst-100%25-remote-at-lensa-4287714704,LinkedIn,2025-08-17
Software Engineer - All Levels,GlossGenius,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-all-levels-at-glossgenius-4286961888,LinkedIn,2025-08-17
Data Analyst Internship,ConnectPrep,"Boston, MA",https://www.linkedin.com/jobs/view/data-analyst-internship-at-connectprep-4287261191,LinkedIn,2025-08-17
Data Entry Analysts,Lensa,"Houston, TX",https://www.linkedin.com/jobs/view/data-entry-analysts-at-lensa-4287297084,LinkedIn,2025-08-17
Software Engineer - All Levels,GlossGenius,"San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-all-levels-at-glossgenius-4286968047,LinkedIn,2025-08-17
"Software Engineer, Search Platform",Notion,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-search-platform-at-notion-4287205371,LinkedIn,2025-08-17
Data Analyst Internship,ConnectPrep,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-analyst-internship-at-connectprep-4287262063,LinkedIn,2025-08-17
AI Engineer GenAI & LLMs,Scribble,"Philadelphia, PA",https://www.linkedin.com/jobs/view/ai-engineer-genai-llms-at-scribble-4287447979,LinkedIn,2025-08-17
Junior Data Analyst,Lensa,"Arlington, VA",https://www.linkedin.com/jobs/view/junior-data-analyst-at-lensa-4287290685,LinkedIn,2025-08-17
Jr. Python Developer,Pioneer Consulting Services LLC,"Iowa, United States",https://www.linkedin.com/jobs/view/jr-python-developer-at-pioneer-consulting-services-llc-4287483069,LinkedIn,2025-08-17
Associate Data Analyst,The Walt Disney Studios,"Burbank, CA",https://www.linkedin.com/jobs/view/associate-data-analyst-at-the-walt-disney-studios-4286900709,LinkedIn,2025-08-17
Data Analyst,TV 1908 Gladenbach,United States,https://www.linkedin.com/jobs/view/data-analyst-at-tv-1908-gladenbach-4286899394,LinkedIn,2025-08-17
"Software Engineer, Search Platform",Notion,"San Francisco, CA",https://www.linkedin.com/jobs/view/software-engineer-search-platform-at-notion-4287207142,LinkedIn,2025-08-17
